,slice,loss_g,loss_d,sensitivity,specificity,false_positive_rate,precision,dice_score,balanced_accuracy,smooth_dice_loss,mae,method
0,0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
1,1,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
2,2,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
3,3,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
4,4,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
5,5,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
6,6,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
7,7,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
8,8,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
9,9,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
10,10,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
11,11,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
12,12,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
13,13,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
14,14,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
15,15,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
16,16,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
17,17,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
18,18,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
19,19,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
20,20,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
21,21,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
22,22,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
23,23,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
24,24,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
25,25,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.053871512,0.0,Full Training
26,26,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,0.053871512,0.0019140625,Full Training
27,27,0.0,0.0,0.83076924,0.9994896,0.0005104044,0.892562,0.8605578,0.9151294,0.053871512,0.0013657605,Full Training
28,28,0.0,0.0,0.9390244,0.99708134,0.0029186716,0.757377,0.8384755,0.96805286,0.053871512,0.0034800898,Full Training
29,29,0.0,0.0,0.9385113,0.9971927,0.0028073227,0.8033241,0.86567163,0.967852,0.053871512,0.0035114628,Full Training
30,30,0.0,0.0,0.875576,0.996384,0.0036159898,0.80679405,0.839779,0.93598,0.053871512,0.005676863,Full Training
31,31,0.0,0.0,0.77640843,0.99712366,0.0028763183,0.8596491,0.8159112,0.8867661,0.053871512,0.007804389,Full Training
32,32,0.0,0.0,0.80607814,0.99706936,0.0029306677,0.88412696,0.8433005,0.9015737,0.053871512,0.008116966,Full Training
33,33,0.0,0.0,0.8300971,0.9983048,0.0016951889,0.94214875,0.88258064,0.91420096,0.053871512,0.007095131,Full Training
34,34,0.0,0.0,0.91078836,0.99667156,0.0033284624,0.9145833,0.91268194,0.95373,0.053871512,0.006600365,Full Training
35,35,0.0,0.0,0.84951454,0.99725,0.002749959,0.9400179,0.8924777,0.9233823,0.053871512,0.009902812,Full Training
36,36,0.0,0.0,0.9191919,0.9891354,0.010864607,0.83896744,0.87724936,0.9541637,0.053871512,0.014932766,Full Training
37,37,0.0,0.0,0.9698113,0.9930512,0.0069488315,0.9159878,0.94213146,0.98143125,0.053871512,0.008654333,Full Training
38,38,0.0,0.0,0.9789895,0.9935596,0.0064404053,0.9279279,0.95277506,0.98627454,0.053871512,0.0075680166,Full Training
39,39,0.0,0.0,0.9697955,0.9945838,0.00541624,0.94263774,0.9560238,0.98218966,0.053871512,0.007475431,Full Training
40,40,0.0,0.0,0.97017545,0.99494,0.0050600343,0.9493562,0.9596529,0.9825577,0.053871512,0.0072045373,Full Training
41,41,0.0,0.0,0.96166664,0.9957328,0.0042672413,0.95886993,0.9602663,0.9786997,0.053871512,0.0074455244,Full Training
42,42,0.0,0.0,0.9607843,0.9959309,0.004069088,0.9623247,0.9615539,0.9783576,0.053871512,0.0074577327,Full Training
43,43,0.0,0.0,0.9740872,0.99544525,0.0045547215,0.9593968,0.9666861,0.98476624,0.053871512,0.006673426,Full Training
44,44,0.0,0.0,0.9882075,0.99371094,0.0062890355,0.94546825,0.9663656,0.9909592,0.053871512,0.0068680956,Full Training
45,45,0.0,0.0,0.98509747,0.9948658,0.0051342295,0.9562315,0.97044986,0.9899816,0.053871512,0.0061512142,Full Training
46,46,0.0,0.0,0.9893293,0.9946466,0.005353412,0.95476276,0.9717387,0.99198794,0.053871512,0.0058701145,Full Training
47,47,0.0,0.0,0.98588866,0.9941248,0.005875185,0.9503676,0.96780235,0.99000674,0.053871512,0.0066644456,Full Training
48,48,0.0,0.0,0.9791271,0.99268454,0.00731548,0.93886465,0.9585733,0.9859058,0.053871512,0.008657165,Full Training
49,49,0.0,0.0,0.98069644,0.99015594,0.009844063,0.9197728,0.9492581,0.9854262,0.053871512,0.010796322,Full Training
50,50,0.0,0.0,0.9836431,0.98952425,0.010475775,0.9168399,0.9490674,0.98658365,0.053871512,0.011078152,Full Training
51,51,0.0,0.0,0.9704732,0.9905656,0.009434376,0.92694527,0.94820994,0.98051935,0.053871512,0.0115972115,Full Training
52,52,0.0,0.0,0.9763971,0.98974425,0.0102557335,0.92350626,0.9492155,0.9830707,0.053871512,0.01175015,Full Training
53,53,0.0,0.0,0.97598684,0.9903812,0.009618795,0.93184674,0.95340616,0.98318404,0.053871512,0.011273824,Full Training
54,54,0.0,0.0,0.98124194,0.9870713,0.012928736,0.9124812,0.9456132,0.9841566,0.053871512,0.013674866,Full Training
55,55,0.0,0.0,0.97675157,0.98833483,0.011665182,0.92129767,0.9482146,0.98254323,0.053871512,0.013065865,Full Training
56,56,0.0,0.0,0.97667825,0.9910822,0.0089178225,0.9393756,0.9576638,0.9838802,0.053871512,0.01066238,Full Training
57,57,0.0,0.0,0.9774224,0.9925483,0.0074516977,0.9491474,0.9630774,0.98498535,0.053871512,0.009325873,Full Training
58,58,0.0,0.0,0.97716755,0.9935149,0.0064850845,0.9562198,0.9665802,0.98534125,0.053871512,0.00852124,Full Training
59,59,0.0,0.0,0.97557205,0.9934275,0.006572476,0.9554815,0.9654223,0.9844998,0.053871512,0.008805546,Full Training
60,60,0.0,0.0,0.9777778,0.9936621,0.006337871,0.95652175,0.96703297,0.98572,0.053871512,0.008376731,Full Training
