model,run,dice_score_0,precision_0,sensitivity_0,loss_g,loss_d,learning_rate_g,learning_rate_d,dice_score_complete_tumor_2019,precision_complete_tumor_2019,sensitivity_complete_tumor_2019,dice_score_tumor_core_2019,precision_tumor_core_2019,sensitivity_tumor_core_2019,dice_score_complete_tumor,precision_complete_tumor,sensitivity_complete_tumor,dice_score_tumor_core,precision_tumor_core,sensitivity_tumor_core,dice_score_enhancing_tumor,precision_enhancing_tumor,sensitivity_enhancing_tumor,epoch,Model Type,Fine Tuning,Source Modality,Target Modality
Segan_TF2_brats_ALL,merged,0.8253466216000643,0.9009912859309803,0.7852538615465164,0.5192105073820461,-0.3027669295668602,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,ALL,ALL
Segan_NoDice_TF2_brats_ALL,merged,0.7048785981806842,0.7585489446466619,0.694238788431341,0.97218543399464,-0.2631294154308059,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,ALL,ALL
Segan_IO_TF2_brats_ALL,merged,0.8588496403260665,0.8820023894309997,0.8519013675776395,0.48200292587280275,-0.2873566141182726,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,ALL,ALL
Segan_IO_TF2_brats_on_T1,merged,0.5377634571230209,0.5703599813478915,0.5567384778648954,1.0453539338978854,-0.621695092049512,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,T1,T1
Segan_IO_TF2_brats_on_T1c,merged,0.5777317930690267,0.6127688174220649,0.580721993621608,0.8477280681783502,-0.4343046261505647,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,T1c,T1c
Segan_IO_TF2_brats_on_T2,merged,0.7212032805789601,0.7725324506109411,0.7241280447353017,0.392345943776044,-0.11164778620004653,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,T2,T2
Segan_IO_TF2_brats_on_FLAIR,merged,0.8098373624411497,0.858129189231179,0.7868627366694537,0.33896906091408296,-0.10490093414079059,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Base Model,From Scratch,FLAIR,FLAIR
Transfer_Brats_Flair_to_T1,merged,0.49552072527903046,0.5031821013512936,0.5532605344217948,0.8178612974557009,-0.3550433828072114,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Transfer,Full,Flair,T1
Transfer_Brats_Flair_to_T1_freeze_all,merged,0.5845291252840649,0.6138418684628877,0.6088102452456952,0.5613975340669806,-0.13884414251555097,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Transfer,Generator,Flair,T1
Transfer_Brats_Flair_to_T1c,merged,0.5391155599447136,0.6537191289392384,0.4971286150076511,0.8627056067640131,-0.4548336075110869,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Transfer,Full,Flair,T1c
Transfer_Brats_Flair_to_T1c_freeze_all,merged,0.5501982616768641,0.641300576840612,0.5147270883983848,0.858874009956013,-0.448347313024781,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Transfer,Generator,Flair,T1c
Transfer_Brats_Flair_to_T2,merged,0.7393595061518929,0.7923969436775554,0.7130521313710646,0.9766777742992748,-0.7117572708563371,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Transfer,Full,Flair,T2
Transfer_Brats_Flair_to_T2_freeze_all,merged,0.785068187659437,0.819364705817266,0.77231633012945,0.392240263115276,-0.10726109539920634,1.9999999494757503e-05,1.9999999494757503e-05,,,,,,,,,,,,,,,,0,Transfer,Generator,Flair,T2
